surface	norm	freq	text_count	pct_texts	texts	category
იღო	იღო	18	12	22.2	chrys-epiphany-homily|cyril-epiphany-homily|inventio-stephani-lucian|mrav-dormition-2|mrav-epiphane-mary|mrav-forty-martyrs|mrav-kharbeba-1|mrav-kharbeba-3|mrav-lazare|mrav-natlisgeba-1|mrav-new-sunday|mrav-shoba-athanasi	REVIEW
მათისა	მათისა	17	10	18.5	mrav-aghdgoma-kyrile|mrav-enkenia-1|mrav-epiphane-mary|mrav-forty-martyrs|mrav-martyrs-chrysostom-2|mrav-martyrs-chrysostom-3|mrav-natlisgeba-okropiri|mrav-shoba-athanasi|mrav-sinai-fathers-amonios|proclus-hom-theotokos	REVIEW
იცოდა	იცოდა	17	12	22.2	chrys-epiphany-homily|cyril-epiphany-homily|inventio-stephani-lucian|mrav-aghdgoma-kyrile|mrav-antipater-bostrensis-1|mrav-chrysostom-jonah|mrav-cross-vision|mrav-dormition-2|mrav-exaltation-cross|mrav-feristsvaleba|mrav-lazare|mrav-shoba-athanasi	REVIEW
მაცხოვრისა	მაცხოვრისა	17	6	11.1	inventio-stephani-lucian|mrav-aghdgoma-kyrile|mrav-antipater-bostrensis-1|mrav-bzoba-iohannes|mrav-kharbeba-2|mrav-toma-chrysostom	REVIEW
იყავნ	იყავნ	17	14	25.9	cyril-epiphany-homily|inventio-stephani-lucian|mart-stepane|mrav-aghdgoma-kyrile|mrav-basili-1|mrav-epiphane-mary|mrav-exaltation-cross|mrav-feristsvaleba|mrav-forty-martyrs|mrav-john-baptist-decollatio-2|mrav-kharbeba-2|mrav-natlisgeba-okropiri|mrav-new-sunday|mrav-sulthmofenoba-2	REVIEW
ბჭენი	ბჭენი	17	8	14.8	mrav-aghdgoma-kyrile|mrav-amaghleba|mrav-basili-1|mrav-enkenia-1|mrav-epiphane-mary|mrav-feristsvaleba|mrav-forty-martyrs|mrav-lazare	REVIEW
დგა	დგა	17	14	25.9	inventio-stephani-lucian|mart-stepane|mrav-aghdgoma-meletios|mrav-antipater-bostrensis-1|mrav-basili-2|mrav-chrysostom-jonah|mrav-enkenia-2|mrav-epiphane-mary|mrav-forty-martyrs|mrav-martyrs-chrysostom|mrav-natlisgeba-1|mrav-new-sunday|mrav-paul-martyrdom|mrav-sinai-fathers-amonios	REVIEW
ისმინეთ	ისმინეთ	17	10	18.5	mrav-bzoba-iohannes|mrav-cross-vision|mrav-dormition-1|mrav-enkenia-1|mrav-feristsvaleba|mrav-john-baptist-decollatio|mrav-lazare|mrav-natlisgeba-1|mrav-sinai-fathers-amonios|mrav-timote-1	REVIEW
ჯუარსა	ჯუარსა	17	9	16.7	hesych-hypapante-01|mrav-bzoba-iohannes|mrav-cross-vision|mrav-enkenia-1|mrav-epiphane-mary|mrav-exaltation-cross|mrav-martyrs-chrysostom-2|mrav-nails-inventio|mrav-toma-chrysostom	REVIEW
სჳმეონ	სვმეონ	17	3	5.6	hesych-hypapante-01|mrav-dormition-1|mrav-timote-1	REVIEW
ლოცვითა	ლოცვითა	17	12	22.2	hesych-hypapante-01|inventio-stephani-lucian|mart-iaqob-up-dzma|mrav-chrysostom-jonah|mrav-feristsvaleba|mrav-john-baptist-decollatio-2|mrav-lazare|mrav-martyrs-chrysostom-2|mrav-martyrs-chrysostom-3|mrav-nails-inventio|mrav-sinai-fathers-amonios|mrav-toma-chrysostom	REVIEW
სმენად	სმენად	16	13	24.1	cyril-epiphany-homily|inventio-stephani-lucian|mrav-aghdgoma-kyrile|mrav-antipater-bostrensis-1|mrav-chrysostom-jonah|mrav-departed-ephrem|mrav-epiphane-mary|mrav-john-baptist-decollatio|mrav-kharbeba-1|mrav-kharbeba-2|mrav-kharbeba-3|mrav-martyrs-chrysostom-2|mrav-sinai-fathers-amonios	REVIEW
კლდესა	კლდესა	16	5	9.3	cyril-epiphany-homily|mrav-aghdgoma-kyrile|mrav-enkenia-1|mrav-epiphane-mary|mrav-feristsvaleba	REVIEW
რომლისათჳს	რომლისათვს	16	11	20.4	mrav-aghdgoma-kyrile|mrav-bzoba-severian|mrav-dormition-1|mrav-dormition-2|mrav-epiphane-mary|mrav-feristsvaleba|mrav-kharbeba-1|mrav-martyrs-chrysostom-2|mrav-natlisgeba-1|mrav-sinai-fathers-amonios|mrav-toma-chrysostom	REVIEW
იხილეთ	იხილეთ	16	9	16.7	mrav-aghdgoma-kyrile|mrav-aghdgoma-meletios|mrav-bzoba-iohannes|mrav-enkenia-1|mrav-enkenia-2|mrav-martyrs-chrysostom|mrav-shoba-athanasi|mrav-toma-chrysostom|proclus-hom-theotokos	REVIEW
სარწმუნოებით	სარწმუნოებით	16	12	22.2	cyril-epiphany-homily|ephr-markhva|hesych-hypapante-01|mrav-aghdgoma-kyrile|mrav-bzoba-iohannes|mrav-bzoba-meletios|mrav-departed-ephrem|mrav-enkenia-1|mrav-epiphane-mary|mrav-john-baptist-decollatio|mrav-kharbeba-2|mrav-kharbeba-3	REVIEW
იგიცა	იგიცა	16	14	25.9	hesych-hypapante-01|inventio-stephani-lucian|mrav-aghdgoma-kyrile|mrav-bzoba-iohannes|mrav-chrysostom-jonah|mrav-cross-vision|mrav-dormition-2|mrav-enkenia-2|mrav-kharbeba-3|mrav-lazare|mrav-martyrs-chrysostom-2|mrav-natlisgeba-okropiri|mrav-shoba-athanasi|mrav-sinai-fathers-amonios	REVIEW
წმიდანი	წმიდანი	16	8	14.8	chrys-epiphany-homily|mrav-aghdgoma-kyrile|mrav-enkenia-1|mrav-enkenia-2|mrav-epiphane-mary|mrav-forty-martyrs|mrav-martyrs-chrysostom-2|mrav-sinai-fathers-amonios	REVIEW
ყოველნივე	ყოველნივე	16	14	25.9	inventio-stephani-lucian|mrav-aghdgoma-kyrile|mrav-bound-ioane-zosime|mrav-bzoba-severian|mrav-enkenia-1|mrav-enkenia-2|mrav-exaltation-cross|mrav-forty-martyrs|mrav-kharbeba-2|mrav-martyrs-chrysostom-3|mrav-natlisgeba-okropiri|mrav-new-sunday|mrav-paul-martyrdom|mrav-toma-chrysostom	REVIEW
იწყო	იწყო	16	10	18.5	cyril-epiphany-homily|mrav-aghdgoma-kyrile|mrav-aghdgoma-meletios|mrav-antipater-bostrensis-1|mrav-cross-vision|mrav-feristsvaleba|mrav-lazare|mrav-peter-martyrdom|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-2	REVIEW
უფროჲსღა	უფროისღა	16	11	20.4	inventio-stephani-lucian|mart-stepane|mrav-aghdgoma-kyrile|mrav-bzoba-meletios|mrav-chrysostom-jonah|mrav-epiphane-mary|mrav-feristsvaleba|mrav-forty-martyrs|mrav-john-baptist-decollatio|mrav-sinai-fathers-amonios|proclus-hom-theotokos	REVIEW
